"target";"drug"
"hsa:1128";"D00270"
"hsa:3764";"D02910"
"hsa:8399";"D00169"
"hsa:1144";"D00759"
"hsa:6335";"D00110"
"hsa:3752";"D00631"
"hsa:200909";"D06396"
"hsa:1133";"D03274"
"hsa:2900";"D00537"
"hsa:6326";"D00252"
"hsa:6334";"D00533"
"hsa:3269";"D03274"
"hsa:1815";"D00633"
"hsa:6328";"D00553"
"hsa:25";"D03252"
"hsa:6323";"D00533"
"hsa:200909";"D00726"
"hsa:3269";"D02234"
"hsa:2555";"D00464"
"hsa:155";"D02349"
"hsa:779";"D00537"
"hsa:151";"D02349"
"hsa:3760";"D02910"
"hsa:136";"D00045"
"hsa:155";"D01386"
"hsa:2559";"D06106"
"hsa:26279";"D02341"
"hsa:9177";"D06396"
"hsa:3354";"D00674"
"hsa:2566";"D00506"
"hsa:3757";"D02910"
"hsa:134";"D02017"
"hsa:1144";"D00760"
"hsa:2555";"D00697"
"hsa:134";"D01453"
"hsa:5319";"D00169"
"hsa:2563";"D06106"
"hsa:6833";"D00593"
"hsa:151";"D04375"
"hsa:2555";"D00506"
"hsa:2891";"D00537"
"hsa:3784";"D02910"
"hsa:2564";"D00464"
"hsa:1131";"D00465"
"hsa:1129";"D01103"
"hsa:1145";"D02207"
"hsa:2559";"D00694"
"hsa:27115";"D01453"
"hsa:3357";"D03274"
"hsa:3752";"D02910"
"hsa:2555";"D00694"
"hsa:30814";"D04028"
"hsa:5136";"D01453"
"hsa:2558";"D00387"
"hsa:6323";"D00512"
"hsa:2562";"D01253"
"hsa:146";"D03415"
"hsa:3764";"D00636"
"hsa:3357";"D04034"
"hsa:3762";"D00631"
"hsa:2905";"D03742"
"hsa:1129";"D00715"
"hsa:2560";"D01253"
"hsa:50487";"D04028"
"hsa:1131";"D00525"
"hsa:6335";"D00512"
"hsa:1131";"D00540"
"hsa:3358";"D04034"
"hsa:3768";"D00636"
"hsa:6753";"D00442"
"hsa:81579";"D02341"
"hsa:2556";"D00506"
"hsa:6334";"D00252"
"hsa:3351";"D01358"
"hsa:151";"D00514"
"hsa:5322";"D02341"
"hsa:147";"D00095"
"hsa:2562";"D00697"
"hsa:2564";"D06106"
"hsa:152";"D04375"
"hsa:4988";"D00195"
"hsa:3762";"D02910"
"hsa:6326";"D00537"
"hsa:768";"D02441"
"hsa:6751";"D02250"
"hsa:6833";"D00219"
"hsa:3269";"D00270"
"hsa:2558";"D01071"
"hsa:55879";"D01071"
"hsa:2903";"D05453"
"hsa:762";"D02441"
"hsa:1145";"D00759"
"hsa:147";"D01386"
"hsa:2562";"D00694"
"hsa:152";"D02349"
"hsa:2560";"D00697"
"hsa:1145";"D00760"
"hsa:2564";"D00694"
"hsa:2560";"D00694"
"hsa:2559";"D01253"
"hsa:3784";"D00636"
"hsa:147";"D00560"
"hsa:2559";"D00387"
"hsa:81579";"D04028"
"hsa:3357";"D00563"
"hsa:1816";"D00633"
"hsa:2566";"D06106"
"hsa:6323";"D00252"
"hsa:6326";"D06172"
"hsa:6335";"D00533"
"hsa:2904";"D03742"
"hsa:761";"D02441"
"hsa:3767";"D02910"
"hsa:1132";"D00525"
"hsa:4988";"D02101"
"hsa:2563";"D01071"
"hsa:2560";"D06106"
"hsa:3358";"D03274"
"hsa:8912";"D00631"
"hsa:2564";"D00697"
"hsa:6328";"D00733"
"hsa:2564";"D01253"
"hsa:2562";"D01071"
"hsa:1144";"D00765"
"hsa:55879";"D02253"
"hsa:153";"D01386"
